dataset,context_variant,depth,metric,delta,lo,hi,p_value,n
hotpotqa,short,7,f1,-0.06650793650793649,-0.15619246031746026,0.010878968253968184,0.1161,30
hotpotqa,short,7,judge_correct,0.016666666666666666,-0.05,0.1,0.8553,30
hotpotqa,short,8,em,-0.08333333333333333,-0.2,0.016666666666666666,0.1515,30
hotpotqa,short,8,f1,-0.0814285714285714,-0.19166666666666668,0.008333333333333344,0.104,30
hotpotqa,short,8,judge_correct,0.016666666666666666,-0.05,0.1,0.8553,30
hotpotqa,short,9,em,-0.08333333333333333,-0.2,0.016666666666666666,0.1928,30
hotpotqa,short,9,f1,-0.08658730158730157,-0.18349206349206348,-0.001587301587301589,0.0635,30
hotpotqa,short,9,judge_correct,0.0,-0.06666666666666667,0.08333333333333333,1.0,30
hotpotqa,short,10,em,-0.1,-0.21666666666666667,0.0,0.0895,30
hotpotqa,short,10,f1,-0.10658730158730159,-0.20825595238095232,-0.014123015873015926,0.032,30
hotpotqa,short,10,judge_correct,0.0,-0.06666666666666667,0.08333333333333333,1.0,30
musique,full,1,em,0.05,-0.06666666666666667,0.18333333333333332,0.5045,30
musique,full,1,f1,0.0849827024827025,-0.053491376678876684,0.2268761192511191,0.2247,30
musique,full,1,judge_correct,0.05,-0.1,0.2,0.5835,30
musique,full,2,em,0.03333333333333333,-0.11666666666666667,0.18333333333333332,0.7378,30
musique,full,2,f1,0.07777777777777778,-0.07972222222222222,0.23032572751322739,0.3254,30
musique,full,2,judge_correct,0.03333333333333333,-0.11666666666666667,0.18333333333333332,0.7501,30
musique,full,3,em,0.03333333333333333,-0.11666666666666667,0.18333333333333332,0.7378,30
musique,full,3,f1,0.0803968253968254,-0.0781762566137566,0.2347228835978836,0.3131,30
musique,full,3,judge_correct,0.03333333333333333,-0.11666666666666667,0.18333333333333332,0.7447,30
musique,full,4,em,0.03333333333333333,-0.13333333333333333,0.2,0.7606,30
musique,full,4,f1,0.0643807118807119,-0.09518750000000001,0.22107181938431933,0.4206,30
musique,full,4,judge_correct,0.016666666666666666,-0.15,0.18333333333333332,0.9188,30
musique,full,5,em,0.05,-0.1,0.2,0.6009,30
musique,full,5,f1,0.07932539682539684,-0.08016236772486769,0.2354153439153438,0.3183,30
musique,full,5,judge_correct,0.016666666666666666,-0.13333333333333333,0.16666666666666666,0.9117,30
musique,full,6,em,0.03333333333333333,-0.11666666666666667,0.18333333333333332,0.7378,30
musique,full,6,f1,0.06126984126984127,-0.09516335978835976,0.21580753968253968,0.4301,30
musique,full,6,judge_correct,0.0,-0.15,0.15,1.0,30
musique,full,7,em,0.016666666666666666,-0.13333333333333333,0.16666666666666666,0.9187,30
musique,full,7,f1,0.04255291005291005,-0.11273809523809522,0.19648214285714283,0.5868,30
musique,full,7,judge_correct,-0.03333333333333333,-0.18333333333333332,0.11666666666666667,0.7448,30
musique,full,8,em,0.03333333333333333,-0.1,0.16666666666666666,0.6992,30
musique,full,8,f1,0.08183235867446395,-0.05815719855193536,0.22324256822612082,0.2485,30
musique,full,8,judge_correct,0.016666666666666666,-0.11666666666666667,0.16666666666666666,0.9087,30
musique,full,9,em,0.03333333333333333,-0.11666666666666667,0.18333333333333332,0.7378,30
musique,full,9,f1,0.06140211640211641,-0.09477744708994708,0.2173167989417989,0.4309,30
