comparison,stratum,query_type,depth,metric,delta,lo,hi,p_value,n
conditioning_x_switching_interaction,factorial,heldout,2,f1,-0.16,-0.5,0.2,0.4099,10
conditioned_minus_generic,fixed,heldout,2,judge_correct,0.6,0.3,0.9,0.0002,10
conditioned_minus_generic,switching,heldout,2,judge_correct,0.5,0.2,0.8,0.002,10
switching_minus_fixed,conditioned,heldout,2,judge_correct,0.0,0.0,0.0,1.0,10
switching_minus_fixed,generic,heldout,2,judge_correct,0.1,0.0,0.3,0.6133,10
conditioning_x_switching_interaction,factorial,heldout,2,judge_correct,-0.1,-0.3,0.0,0.6125,10
conditioned_minus_generic,fixed,heldout,3,em,0.4,0.1,0.7,0.0174,10
conditioned_minus_generic,switching,heldout,3,em,0.2,0.0,0.5,0.227,10
switching_minus_fixed,conditioned,heldout,3,em,-0.3,-0.6,-0.1,0.0703,10
switching_minus_fixed,generic,heldout,3,em,-0.1,-0.3,0.0,0.6104,10
conditioning_x_switching_interaction,factorial,heldout,3,em,-0.2,-0.5,0.0,0.2251,10
conditioned_minus_generic,fixed,heldout,3,f1,0.4,0.1,0.7,0.0174,10
conditioned_minus_generic,switching,heldout,3,f1,0.25,0.0,0.5,0.0806,10
switching_minus_fixed,conditioned,heldout,3,f1,-0.25,-0.6,0.05,0.1691,10
switching_minus_fixed,generic,heldout,3,f1,-0.1,-0.3,0.0,0.6104,10
conditioning_x_switching_interaction,factorial,heldout,3,f1,-0.15,-0.45,0.1,0.3882,10
conditioned_minus_generic,fixed,heldout,3,judge_correct,0.7,0.4,1.0,0.0,10
conditioned_minus_generic,switching,heldout,3,judge_correct,0.8,0.5,1.0,0.0,10
switching_minus_fixed,conditioned,heldout,3,judge_correct,0.0,0.0,0.0,1.0,10
switching_minus_fixed,generic,heldout,3,judge_correct,-0.1,-0.3,0.0,0.6197,10
conditioning_x_switching_interaction,factorial,heldout,3,judge_correct,0.1,0.0,0.3,0.6128,10
conditioned_minus_generic,fixed,heldout,4,em,0.3,0.0,0.6,0.0735,10
conditioned_minus_generic,switching,heldout,4,em,0.3,0.0,0.6,0.0738,10
switching_minus_fixed,conditioned,heldout,4,em,-0.1,-0.4,0.2,0.7698,10
switching_minus_fixed,generic,heldout,4,em,-0.1,-0.3,0.0,0.6104,10
conditioning_x_switching_interaction,factorial,heldout,4,em,0.0,-0.3,0.3,1.0,10
conditioned_minus_generic,fixed,heldout,4,f1,0.35,0.1,0.65,0.0191,10
conditioned_minus_generic,switching,heldout,4,f1,0.35,0.1,0.65,0.0213,10
switching_minus_fixed,conditioned,heldout,4,f1,-0.1,-0.45,0.25,0.6934,10
switching_minus_fixed,generic,heldout,4,f1,-0.1,-0.3,0.0,0.6104,10
conditioning_x_switching_interaction,factorial,heldout,4,f1,0.0,-0.3,0.3,1.0,10
conditioned_minus_generic,fixed,heldout,4,judge_correct,0.7,0.4,1.0,0.0,10
conditioned_minus_generic,switching,heldout,4,judge_correct,0.8,0.5,1.0,0.0,10
switching_minus_fixed,conditioned,heldout,4,judge_correct,0.0,0.0,0.0,1.0,10
switching_minus_fixed,generic,heldout,4,judge_correct,-0.1,-0.3,0.0,0.6197,10
conditioning_x_switching_interaction,factorial,heldout,4,judge_correct,0.1,0.0,0.3,0.6128,10
conditioned_minus_generic,fixed,heldout,5,em,0.3,0.0,0.6,0.0735,10
conditioned_minus_generic,switching,heldout,5,em,0.3,0.0,0.6,0.0806,10
switching_minus_fixed,conditioned,heldout,5,em,0.0,-0.4,0.4,1.0,10
switching_minus_fixed,generic,heldout,5,em,0.0,0.0,0.0,1.0,10
conditioning_x_switching_interaction,factorial,heldout,5,em,0.0,-0.4,0.4,1.0,10
conditioned_minus_generic,fixed,heldout,5,f1,0.3,0.0,0.6,0.0735,10
conditioned_minus_generic,switching,heldout,5,f1,0.3,0.0,0.6,0.0806,10
switching_minus_fixed,conditioned,heldout,5,f1,0.0,-0.4,0.4,1.0,10
switching_minus_fixed,generic,heldout,5,f1,0.0,0.0,0.0,1.0,10
conditioning_x_switching_interaction,factorial,heldout,5,f1,0.0,-0.4,0.4,1.0,10
conditioned_minus_generic,fixed,heldout,5,judge_correct,0.6,0.3,0.9,0.0002,10
conditioned_minus_generic,switching,heldout,5,judge_correct,0.6,0.3,0.9,0.0002,10
switching_minus_fixed,conditioned,heldout,5,judge_correct,-0.1,-0.4,0.2,0.7743,10
switching_minus_fixed,generic,heldout,5,judge_correct,-0.1,-0.3,0.0,0.6197,10
conditioning_x_switching_interaction,factorial,heldout,5,judge_correct,0.0,-0.4,0.4,1.0,10
conditioned_minus_generic,fixed,heldout,6,em,0.4,0.1,0.7,0.0174,10
conditioned_minus_generic,switching,heldout,6,em,0.1,0.0,0.3,0.6116,10
switching_minus_fixed,conditioned,heldout,6,em,-0.3,-0.6,0.0,0.074,10
switching_minus_fixed,generic,heldout,6,em,0.0,0.0,0.0,1.0,10
conditioning_x_switching_interaction,factorial,heldout,6,em,-0.3,-0.6,0.0,0.0718,10
conditioned_minus_generic,fixed,heldout,6,f1,0.4,0.1,0.7,0.0174,10
conditioned_minus_generic,switching,heldout,6,f1,0.17857142857142858,0.0,0.4,0.078,10
switching_minus_fixed,conditioned,heldout,6,f1,-0.22142857142857145,-0.5,0.028571428571428574,0.1136,10
switching_minus_fixed,generic,heldout,6,f1,0.0,0.0,0.0,1.0,10
conditioning_x_switching_interaction,factorial,heldout,6,f1,-0.22142857142857145,-0.5,0.014285714285714301,0.1079,10
conditioned_minus_generic,fixed,heldout,6,judge_correct,0.6,0.3,0.9,0.0002,10
conditioned_minus_generic,switching,heldout,6,judge_correct,0.7,0.4,1.0,0.0,10
switching_minus_fixed,conditioned,heldout,6,judge_correct,0.0,-0.3,0.3,1.0,10
switching_minus_fixed,generic,heldout,6,judge_correct,-0.1,-0.3,0.0,0.6197,10
conditioning_x_switching_interaction,factorial,heldout,6,judge_correct,0.1,-0.2,0.4,0.7595,10
