scope,population,comparison,treatment,control,measure,delta,lo,hi,p_value,n_dossiers,n_paired_observations,equivalence_margin,equivalent_within_margin,family
qa_eligible,eligible_omissions,qwen:restore_vs_sham,qwen_sl_restore,qwen_sl_sham,f1,0.882083,0.769583,0.957917,0.0001,20,47,0.05,0,qwen
qa_eligible,eligible_omissions,qwen:restore_vs_sham,qwen_sl_restore,qwen_sl_sham,judge_correct,0.95,0.85,1.0,0.0001,20,47,0.05,0,qwen
qa_eligible,eligible_omissions,qwen:restore_vs_sham,qwen_sl_restore,qwen_sl_sham,b_present_stage2,1.0,1.0,1.0,0.0001,20,47,0.05,0,qwen
itt,eligible_omissions,qwen:restore_vs_sealed,qwen_sl_restore,qwen_sl,f1,0.924583,0.879167,0.96625,0.0001,20,47,0.05,0,qwen
itt,eligible_omissions,qwen:restore_vs_sealed,qwen_sl_restore,qwen_sl,judge_correct,1.0,1.0,1.0,0.0001,20,47,0.05,0,qwen
itt,eligible_omissions,qwen:restore_vs_sealed,qwen_sl_restore,qwen_sl,b_present_stage2,1.0,1.0,1.0,0.0001,20,47,0.05,0,qwen
compliant,eligible_omissions,qwen:restore_vs_sealed,qwen_sl_restore,qwen_sl,f1,0.906944,0.856019,0.953704,0.0001,18,33,0.05,0,qwen
compliant,eligible_omissions,qwen:restore_vs_sealed,qwen_sl_restore,qwen_sl,judge_correct,1.0,1.0,1.0,0.0001,18,33,0.05,0,qwen
compliant,eligible_omissions,qwen:restore_vs_sealed,qwen_sl_restore,qwen_sl,b_present_stage2,1.0,1.0,1.0,0.0001,18,33,0.05,0,qwen
qa_eligible,eligible_omissions,qwen:restore_vs_sealed,qwen_sl_restore,qwen_sl,f1,0.924583,0.8825,0.96625,0.0001,20,47,0.05,0,qwen
qa_eligible,eligible_omissions,qwen:restore_vs_sealed,qwen_sl_restore,qwen_sl,judge_correct,1.0,1.0,1.0,0.0001,20,47,0.05,0,qwen
qa_eligible,eligible_omissions,qwen:restore_vs_sealed,qwen_sl_restore,qwen_sl,b_present_stage2,1.0,1.0,1.0,0.0001,20,47,0.05,0,qwen
itt,eligible_omissions,qwen:reopen_vs_sealed,qwen_sl_reopen,qwen_sl,f1,0.924583,0.882917,0.962573,0.0001,20,47,0.05,0,qwen
itt,eligible_omissions,qwen:reopen_vs_sealed,qwen_sl_reopen,qwen_sl,judge_correct,1.0,1.0,1.0,0.0001,20,47,0.05,0,qwen
itt,eligible_omissions,qwen:reopen_vs_sealed,qwen_sl_reopen,qwen_sl,b_present_stage2,1.0,1.0,1.0,0.0001,20,47,0.05,0,qwen
compliant,eligible_omissions,qwen:reopen_vs_sealed,qwen_sl_reopen,qwen_sl,f1,0.906944,0.856019,0.953704,0.0001,18,33,0.05,0,qwen
compliant,eligible_omissions,qwen:reopen_vs_sealed,qwen_sl_reopen,qwen_sl,judge_correct,1.0,1.0,1.0,0.0001,18,33,0.05,0,qwen
compliant,eligible_omissions,qwen:reopen_vs_sealed,qwen_sl_reopen,qwen_sl,b_present_stage2,1.0,1.0,1.0,0.0001,18,33,0.05,0,qwen
qa_eligible,eligible_omissions,qwen:reopen_vs_sealed,qwen_sl_reopen,qwen_sl,f1,0.924583,0.8825,0.96625,0.0001,20,47,0.05,0,qwen
qa_eligible,eligible_omissions,qwen:reopen_vs_sealed,qwen_sl_reopen,qwen_sl,judge_correct,1.0,1.0,1.0,0.0001,20,47,0.05,0,qwen
qa_eligible,eligible_omissions,qwen:reopen_vs_sealed,qwen_sl_reopen,qwen_sl,b_present_stage2,1.0,1.0,1.0,0.0001,20,47,0.05,0,qwen
