comparison,mode,query_type,depth,metric,delta,lo,hi,p_value,n
depth_minus_direct,generic,heldout,5,em,-0.45,-0.65,-0.25,0.0,20
depth_minus_direct,generic,heldout,5,f1,-0.39666666666666667,-0.6,-0.2033333333333333,0.0,20
depth_minus_direct,generic,heldout,5,judge_correct,-0.35,-0.55,-0.15,0.0024,20
depth_minus_direct,generic,heldout,6,em,-0.4,-0.6,-0.2,0.0003,20
depth_minus_direct,generic,heldout,6,f1,-0.38666666666666666,-0.5900000000000001,-0.19,0.0001,20
depth_minus_direct,generic,heldout,6,judge_correct,-0.35,-0.55,-0.15,0.0024,20
depth_minus_direct,generic,heldout,7,em,-0.45,-0.65,-0.25,0.0,20
depth_minus_direct,generic,heldout,7,f1,-0.39666666666666667,-0.6,-0.2033333333333333,0.0,20
depth_minus_direct,generic,heldout,7,judge_correct,-0.35,-0.55,-0.15,0.0024,20
depth_minus_direct,generic,heldout,8,em,-0.45,-0.65,-0.25,0.0,20
depth_minus_direct,generic,heldout,8,f1,-0.39666666666666667,-0.6,-0.2033333333333333,0.0,20
depth_minus_direct,generic,heldout,8,judge_correct,-0.4,-0.6,-0.2,0.0005,20
depth_minus_direct,generic,heldout,9,em,-0.45,-0.65,-0.25,0.0,20
depth_minus_direct,generic,heldout,9,f1,-0.3875757575757576,-0.5833333333333334,-0.2,0.0,20
depth_minus_direct,generic,heldout,9,judge_correct,-0.4,-0.6,-0.2,0.0005,20
depth_minus_direct,generic,heldout,10,em,-0.4,-0.6,-0.2,0.0003,20
depth_minus_direct,generic,heldout,10,f1,-0.37333333333333335,-0.5733333333333334,-0.18666666666666668,0.0001,20
depth_minus_direct,generic,heldout,10,judge_correct,-0.4,-0.6,-0.2,0.0005,20
conditioned_minus_generic,conditioned_minus_generic,heldout,1,em,-0.35,-0.55,-0.15,0.0014,20
conditioned_minus_generic,conditioned_minus_generic,heldout,1,f1,-0.3924242424242424,-0.6,-0.19242424242424244,0.0001,20
conditioned_minus_generic,conditioned_minus_generic,heldout,1,judge_correct,-0.4,-0.6,-0.2,0.0003,20
conditioned_minus_generic,conditioned_minus_generic,heldout,2,em,-0.4,-0.6,-0.2,0.0002,20
conditioned_minus_generic,conditioned_minus_generic,heldout,2,f1,-0.4333333333333333,-0.65,-0.2333333333333333,0.0,20
conditioned_minus_generic,conditioned_minus_generic,heldout,2,judge_correct,-0.45,-0.65,-0.25,0.0,20
conditioned_minus_generic,conditioned_minus_generic,heldout,3,em,-0.45,-0.65,-0.25,0.0001,20
conditioned_minus_generic,conditioned_minus_generic,heldout,3,f1,-0.4833333333333333,-0.7,-0.26666666666666666,0.0,20
conditioned_minus_generic,conditioned_minus_generic,heldout,3,judge_correct,-0.5,-0.7,-0.3,0.0,20
conditioned_minus_generic,conditioned_minus_generic,heldout,4,em,-0.3,-0.5,-0.1,0.0071,20
conditioned_minus_generic,conditioned_minus_generic,heldout,4,f1,-0.36992424242424243,-0.5757575757575757,-0.1775,0.0001,20
conditioned_minus_generic,conditioned_minus_generic,heldout,4,judge_correct,-0.4,-0.6,-0.2,0.0002,20
conditioned_minus_generic,conditioned_minus_generic,heldout,5,em,-0.25,-0.5,0.0,0.06,20
conditioned_minus_generic,conditioned_minus_generic,heldout,5,f1,-0.32333333333333336,-0.54,-0.11666666666666665,0.0023,20
conditioned_minus_generic,conditioned_minus_generic,heldout,5,judge_correct,-0.4,-0.6,-0.2,0.0002,20
conditioned_minus_generic,conditioned_minus_generic,heldout,6,em,-0.35,-0.55,-0.15,0.0016,20
