comparison,kind,treatment,control,from_depth,query_type,answerer_role,depth,metric,delta,lo,hi,p_value,n
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,3,em,0.15,-0.05,0.35,0.2327,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,4,em,0.15,-0.05,0.35,0.2389,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,5,em,0.05,-0.1,0.2,0.7651,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,6,em,0.0,-0.15,0.15,1.0,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,1,f1,0.0,0.0,0.0,1.0,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,2,f1,0.15944444444444444,0.029986111111111227,0.3194444444444445,0.0314,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,3,f1,0.12035714285714286,-0.0625,0.30572321428571414,0.197,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,4,f1,0.09,-0.09,0.27,0.3455,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,5,f1,0.05,-0.1,0.21000000000000002,0.5807,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,6,f1,0.025,-0.125,0.175,0.7554,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,1,judge_correct,0.0,0.0,0.0,1.0,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,2,judge_correct,0.1,0.0,0.25,0.2589,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,3,judge_correct,0.1,-0.1,0.3,0.4328,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,4,judge_correct,0.05,-0.1,0.2,0.7714,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,5,judge_correct,0.0,-0.2,0.2,1.0,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,6,judge_correct,0.05,-0.15,0.25,0.8224,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,primary,1,em,0.0,0.0,0.0,1.0,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,primary,2,em,-0.05,-0.15,0.0,0.6221,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,primary,3,em,0.05,0.0,0.15,0.6207,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,primary,4,em,-0.05,-0.2,0.1,0.7669,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,primary,5,em,-0.05,-0.25,0.1,0.7619,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,primary,6,em,-0.05,-0.15,0.0,0.621,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,primary,1,f1,0.0,0.0,0.0,1.0,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,primary,2,f1,-0.029761904761904757,-0.07142857142857142,0.0,0.1051,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,primary,3,f1,0.05357142857142858,-0.009523809523809513,0.15833333333333333,0.3015,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,primary,4,f1,-0.019155844155844155,-0.16905032467532463,0.13084415584415582,0.7925,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,primary,5,f1,-0.07976190476190476,-0.25,0.045238095238095244,0.2657,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,primary,6,f1,-0.054761904761904755,-0.15952380952380948,0.0,0.225,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,primary,1,judge_correct,0.0,0.0,0.0,1.0,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,primary,2,judge_correct,-0.1,-0.25,0.0,0.2475,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,primary,3,judge_correct,-0.05,-0.2,0.1,0.754,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,primary,4,judge_correct,-0.15,-0.35,0.05,0.239,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,primary,5,judge_correct,-0.2,-0.4,-0.05,0.0467,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,primary,6,judge_correct,-0.15,-0.3,0.0,0.1066,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,secondary,1,em,0.0,0.0,0.0,1.0,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,secondary,2,em,-0.05,-0.2,0.1,0.7617,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,secondary,3,em,0.05,-0.1,0.2,0.7681,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,secondary,4,em,0.05,-0.1,0.2,0.7595,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,secondary,5,em,-0.05,-0.15,0.0,0.6252,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,secondary,6,em,0.0,0.0,0.0,1.0,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,secondary,1,f1,0.0,0.0,0.0,1.0,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,secondary,2,f1,-0.04166666666666667,-0.16666666666666669,0.05833333333333333,0.5203,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,secondary,3,f1,-0.008333333333333331,-0.16666666666666666,0.15,0.9474,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,secondary,4,f1,0.016666666666666673,-0.13333333333333333,0.16666666666666669,0.8203,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,secondary,5,f1,-0.05,-0.15,0.0,0.6252,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,secondary,6,f1,0.0,0.0,0.0,1.0,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,secondary,1,judge_correct,0.0,0.0,0.0,1.0,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,secondary,2,judge_correct,-0.1,-0.25,0.0,0.2457,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,secondary,3,judge_correct,0.0,-0.15,0.15,1.0,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,secondary,4,judge_correct,0.05,-0.15,0.25,0.817,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,secondary,5,judge_correct,-0.05,-0.2,0.1,0.7698,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,heldout,secondary,6,judge_correct,0.05,-0.1,0.25,0.7614,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,primary,1,em,0.0,0.0,0.0,1.0,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,primary,2,em,0.1,-0.1,0.3,0.4272,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,primary,3,em,0.05,-0.1,0.2,0.7655,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,primary,4,em,-0.05,-0.2,0.1,0.7628,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,primary,5,em,0.1,-0.1,0.3,0.4325,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,primary,6,em,0.05,0.0,0.15,0.6246,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,primary,1,f1,0.0,0.0,0.0,1.0,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,primary,2,f1,0.03254884004884005,-0.09235714285714283,0.15254884004884006,0.5994,20
