arm,block,derived,size_pattern,family_mode,query_type,answerer_role,depth,n,n_family_transitions,n_tier_transitions,mean_parameters_b,chain_short_codes,material_characters_mean,empty_handoff_chain_fraction,em,em_lo,em_hi,f1,f1_lo,f1_hi,judge_correct,judge_correct_lo,judge_correct_hi
homog_large_matched,matched_large,True,all_large,start,target,primary,0,20,0,0,,direct,7954.1,0.0,0.65,0.45,0.85,0.8278,0.6869,0.9442,0.9,0.75,1.0
homog_large_matched,matched_large,True,all_large,start,target,primary,1,20,0,0,24.0,rotates (4 start models),509.5,0.0,0.8,0.6,0.95,0.8975,0.775,0.9875,0.95,0.85,1.0
homog_large_matched,matched_large,True,all_large,start,target,primary,2,20,0,0,24.0,rotates (4 start models),475.6,0.0,0.65,0.45,0.85,0.8537,0.7512,0.9432,1.0,1.0,1.0
homog_large_matched,matched_large,True,all_large,start,target,primary,3,20,0,0,24.0,rotates (4 start models),449.1,0.0,0.55,0.35,0.75,0.7883,0.6583,0.9025,0.95,0.85,1.0
homog_large_matched,matched_large,True,all_large,start,target,primary,4,20,0,0,24.0,rotates (4 start models),429.9,0.0,0.6,0.4,0.8,0.8008,0.6683,0.9167,0.95,0.85,1.0
homog_large_matched,matched_large,True,all_large,start,target,primary,5,20,0,0,24.0,rotates (4 start models),434.1,0.0,0.6,0.4,0.8,0.8143,0.6833,0.925,1.0,1.0,1.0
homog_large_matched,matched_large,True,all_large,start,target,primary,6,20,0,0,24.0,rotates (4 start models),423.4,0.0,0.5,0.3,0.7,0.8296,0.7361,0.9132,1.0,1.0,1.0
homog_large_matched,matched_large,True,all_large,start,target,secondary,0,20,0,0,,direct,7954.1,0.0,0.8,0.6,0.95,0.85,0.69,0.98,0.95,0.85,1.0
homog_large_matched,matched_large,True,all_large,start,target,secondary,1,20,0,0,24.0,rotates (4 start models),509.5,0.0,0.85,0.7,1.0,0.8825,0.745,1.0,0.95,0.85,1.0
homog_large_matched,matched_large,True,all_large,start,target,secondary,2,20,0,0,24.0,rotates (4 start models),475.6,0.0,0.75,0.55,0.9,0.8675,0.7499,0.965,0.95,0.85,1.0
homog_large_matched,matched_large,True,all_large,start,target,secondary,3,20,0,0,24.0,rotates (4 start models),449.1,0.0,0.7,0.5,0.9,0.855,0.7375,0.9525,0.95,0.85,1.0
homog_large_matched,matched_large,True,all_large,start,target,secondary,4,20,0,0,24.0,rotates (4 start models),429.9,0.0,0.65,0.45,0.85,0.805,0.6625,0.9275,0.95,0.85,1.0
homog_large_matched,matched_large,True,all_large,start,target,secondary,5,20,0,0,24.0,rotates (4 start models),434.1,0.0,0.6,0.4,0.8,0.8254,0.6954,0.9329,1.0,1.0,1.0
homog_large_matched,matched_large,True,all_large,start,target,secondary,6,20,0,0,24.0,rotates (4 start models),423.4,0.0,0.65,0.45,0.85,0.8325,0.7,0.9425,1.0,1.0,1.0
homog_large_mistral,matched_large,False,all_large,fixed_named,heldout,primary,0,20,0,0,,direct,7954.1,0.0,0.8,0.6,0.95,0.8333,0.6667,0.9833,0.9,0.75,1.0
homog_large_mistral,matched_large,False,all_large,fixed_named,heldout,primary,1,20,0,0,24.0,M24,438.4,0.0,0.3,0.1,0.5,0.3708,0.1833,0.5708,0.4,0.2,0.6
homog_large_mistral,matched_large,False,all_large,fixed_named,heldout,primary,2,20,0,0,24.0,M24-M24,392.4,0.0,0.35,0.15,0.55,0.3875,0.1875,0.6,0.45,0.25,0.65
homog_large_mistral,matched_large,False,all_large,fixed_named,heldout,primary,3,20,0,0,24.0,M24-M24-M24,383.8,0.0,0.3,0.1,0.5,0.3925,0.205,0.5925,0.5,0.3,0.7
homog_large_mistral,matched_large,False,all_large,fixed_named,heldout,primary,4,20,0,0,24.0,M24-M24-M24-M24,369.6,0.0,0.35,0.15,0.55,0.4,0.2,0.6,0.5,0.3,0.7
homog_large_mistral,matched_large,False,all_large,fixed_named,heldout,primary,5,20,0,0,24.0,M24-M24-M24-M24-M24,370.9,0.0,0.3,0.1,0.5,0.3708,0.1833,0.5708,0.35,0.15,0.55
homog_large_mistral,matched_large,False,all_large,fixed_named,heldout,primary,6,20,0,0,24.0,M24-M24-M24-M24-M24-M24,372.9,0.0,0.25,0.1,0.45,0.3508,0.1708,0.5434,0.4,0.2,0.6
homog_large_mistral,matched_large,False,all_large,fixed_named,heldout,secondary,0,20,0,0,,direct,7954.1,0.0,0.85,0.7,1.0,0.875,0.725,1.0,0.95,0.85,1.0
homog_large_mistral,matched_large,False,all_large,fixed_named,heldout,secondary,1,20,0,0,24.0,M24,438.4,0.0,0.45,0.25,0.65,0.5458,0.3417,0.7417,0.55,0.35,0.75
homog_large_mistral,matched_large,False,all_large,fixed_named,heldout,secondary,2,20,0,0,24.0,M24-M24,392.4,0.0,0.45,0.25,0.65,0.475,0.275,0.7,0.55,0.35,0.75
homog_large_mistral,matched_large,False,all_large,fixed_named,heldout,secondary,3,20,0,0,24.0,M24-M24-M24,383.8,0.0,0.4,0.2,0.6,0.4583,0.25,0.6667,0.5,0.3,0.7
homog_large_mistral,matched_large,False,all_large,fixed_named,heldout,secondary,4,20,0,0,24.0,M24-M24-M24-M24,369.6,0.0,0.4,0.2,0.6,0.4583,0.25,0.6667,0.55,0.35,0.75
homog_large_mistral,matched_large,False,all_large,fixed_named,heldout,secondary,5,20,0,0,24.0,M24-M24-M24-M24-M24,370.9,0.0,0.4,0.2,0.6,0.4583,0.25,0.6667,0.55,0.35,0.75
homog_large_mistral,matched_large,False,all_large,fixed_named,heldout,secondary,6,20,0,0,24.0,M24-M24-M24-M24-M24-M24,372.9,0.0,0.4,0.2,0.6,0.4583,0.25,0.6667,0.55,0.35,0.75
homog_large_mistral,matched_large,False,all_large,fixed_named,target,primary,0,20,0,0,,direct,7954.1,0.0,0.65,0.45,0.85,0.8278,0.6869,0.9442,0.9,0.75,1.0
homog_large_mistral,matched_large,False,all_large,fixed_named,target,primary,1,20,0,0,24.0,M24,438.4,0.0,0.8,0.6,0.95,0.9437,0.8723,0.9962,1.0,1.0,1.0
homog_large_mistral,matched_large,False,all_large,fixed_named,target,primary,2,20,0,0,24.0,M24-M24,392.4,0.0,0.55,0.35,0.75,0.7837,0.647,0.906,1.0,1.0,1.0
homog_large_mistral,matched_large,False,all_large,fixed_named,target,primary,3,20,0,0,24.0,M24-M24-M24,383.8,0.0,0.5,0.3,0.7,0.7258,0.5767,0.8625,1.0,1.0,1.0
homog_large_mistral,matched_large,False,all_large,fixed_named,target,primary,4,20,0,0,24.0,M24-M24-M24-M24,369.6,0.0,0.5,0.3,0.7,0.7175,0.565,0.8575,1.0,1.0,1.0
homog_large_mistral,matched_large,False,all_large,fixed_named,target,primary,5,20,0,0,24.0,M24-M24-M24-M24-M24,370.9,0.0,0.5,0.3,0.7,0.7175,0.565,0.8575,1.0,1.0,1.0
homog_large_mistral,matched_large,False,all_large,fixed_named,target,primary,6,20,0,0,24.0,M24-M24-M24-M24-M24-M24,372.9,0.0,0.5,0.3,0.7,0.7419,0.5925,0.8775,1.0,1.0,1.0
homog_large_mistral,matched_large,False,all_large,fixed_named,target,secondary,0,20,0,0,,direct,7954.1,0.0,0.8,0.6,0.95,0.85,0.69,0.98,0.95,0.85,1.0
homog_large_mistral,matched_large,False,all_large,fixed_named,target,secondary,1,20,0,0,24.0,M24,438.4,0.0,0.8,0.6,0.95,0.89,0.77,0.99,1.0,1.0,1.0
homog_large_mistral,matched_large,False,all_large,fixed_named,target,secondary,2,20,0,0,24.0,M24-M24,392.4,0.0,0.65,0.45,0.85,0.815,0.68,0.935,1.0,1.0,1.0
homog_large_mistral,matched_large,False,all_large,fixed_named,target,secondary,3,20,0,0,24.0,M24-M24-M24,383.8,0.0,0.55,0.35,0.75,0.7175,0.55,0.8675,1.0,1.0,1.0
