policy,budget_words,relation,kind,metric,mean,lo,hi,n_contexts,n_cells
lm_conditioned,40,same_entity,utility,judge_correct,0.046875,0.0,0.09375,16,64
lm_conditioned,40,same_entity,regret,judge_correct,0.953125,0.90625,1.0,16,64
lm_conditioned,40,same_topic,utility,em,0.03125,0.0,0.078125,16,64
lm_conditioned,40,same_topic,regret,em,0.921875,0.84375,0.984375,16,64
lm_conditioned,40,same_topic,utility,f1,0.05654761904761905,0.017485119047619048,0.10045572916666654,16,64
lm_conditioned,40,same_topic,regret,f1,0.9278273809523809,0.8854166666666666,0.9676525297619045,16,64
lm_conditioned,40,same_topic,utility,judge_correct,0.03125,0.0,0.078125,16,64
lm_conditioned,40,same_topic,regret,judge_correct,0.96875,0.921875,1.0,16,64
lm_conditioned,40,orthogonal,utility,em,0.016927083333333336,0.006510416666666666,0.029947916666666664,16,768
lm_conditioned,40,orthogonal,regret,em,0.8268229166666666,0.7708333333333333,0.8736979166666667,16,768
lm_conditioned,40,orthogonal,utility,f1,0.03947568018684746,0.027407689519936763,0.052588078792122905,16,768
lm_conditioned,40,orthogonal,regret,f1,0.8860451531464858,0.857020260874236,0.9137103083420869,16,768
lm_conditioned,40,orthogonal,utility,judge_correct,0.022135416666666664,0.010416666666666666,0.03515625,16,768
lm_conditioned,40,orthogonal,regret,judge_correct,0.9700520833333334,0.9518229166666666,0.9856770833333334,16,768
lm_conditioned,80,paraphrase,utility,em,0.515625,0.390625,0.640625,16,64
lm_conditioned,80,paraphrase,regret,em,0.265625,0.1875,0.34375,16,64
lm_conditioned,80,paraphrase,utility,f1,0.6510416666666666,0.5453125,0.7515624999999999,16,64
lm_conditioned,80,paraphrase,regret,f1,0.22395833333333334,0.13958333333333334,0.31718749999999996,16,64
lm_conditioned,80,paraphrase,utility,judge_correct,0.734375,0.625,0.828125,16,64
lm_conditioned,80,paraphrase,regret,judge_correct,0.25,0.15625,0.359375,16,64
