policy,budget_words,endpoint,metric,mean,lo,hi,n_contexts,n_excluded_low_ceiling,min_ceiling_for_ratio
oracle,160,future,judge_correct,0.8328026729559748,0.7645631878930818,0.9015526729559749,16,0,0.25
paraphrase,20,now,em,0.11979166666666666,0.041666666666666664,0.20312499999999997,16,0,0.25
paraphrase,20,now,f1,0.18291260822510821,0.1275695008116883,0.23527867965367966,16,0,0.25
paraphrase,20,now,judge_correct,0.140625,0.0625,0.21875,16,0,0.25
paraphrase,20,future,em,0.04971501572327043,0.02122641509433962,0.07919614779874215,16,0,0.25
paraphrase,20,future,f1,0.1156952554460628,0.08806049265064236,0.14280178898590806,16,0,0.25
paraphrase,20,future,judge_correct,0.07450864779874214,0.040614190251572424,0.11145833333333335,16,0,0.25
paraphrase,40,now,em,0.11979166666666666,0.041666666666666664,0.20312499999999997,16,0,0.25
paraphrase,40,now,f1,0.23951762523191095,0.20167672419346525,0.27881235827664397,16,0,0.25
paraphrase,40,now,judge_correct,0.1875,0.109375,0.265625,16,0,0.25
paraphrase,40,future,em,0.08989871002191013,0.050288479773529744,0.1316768563754118,16,0,0.25
paraphrase,40,future,f1,0.18792236553179342,0.15434555549551301,0.22253579141031635,16,0,0.25
paraphrase,40,future,judge_correct,0.13860062893081762,0.09172562893081762,0.1886610652515723,16,0,0.25
paraphrase,80,now,em,0.234375,0.16145833333333331,0.3020833333333333,16,0,0.25
paraphrase,80,now,f1,0.33535772263450836,0.28316326530612246,0.38578869047619047,16,0,0.25
paraphrase,80,now,judge_correct,0.296875,0.21875,0.375,16,0,0.25
paraphrase,80,future,em,0.18931149481537835,0.14917655954639258,0.22951706202757438,16,0,0.25
paraphrase,80,future,f1,0.2771038883665372,0.24273456771452034,0.3125865351835395,16,0,0.25
paraphrase,80,future,judge_correct,0.24797562893081762,0.2084512578616352,0.2885416666666667,16,0,0.25
paraphrase,160,now,em,0.2864583333333333,0.16145833333333331,0.41666666666666663,16,0,0.25
paraphrase,160,now,f1,0.420799512987013,0.32306192505411263,0.5248588000541126,16,0,0.25
paraphrase,160,now,judge_correct,0.40625,0.296875,0.515625,16,0,0.25
paraphrase,160,future,em,0.30596292494921734,0.2531271408511365,0.3627756097939424,16,0,0.25
paraphrase,160,future,f1,0.38260634473792265,0.32889178699778304,0.43800890182522534,16,0,0.25
paraphrase,160,future,judge_correct,0.3887185534591195,0.32552623820754717,0.45139986242138364,16,0,0.25
passthrough,20,now,em,0.020833333333333332,0.0,0.0625,16,0,0.25
passthrough,20,now,f1,0.0325,0.0,0.07535714285714286,16,0,0.25
passthrough,20,now,judge_correct,0.03125,0.0,0.078125,16,0,0.25
passthrough,20,future,em,0.017435983827493264,0.0,0.03866239892183288,16,0,0.25
passthrough,20,future,f1,0.03391556531506505,0.013272305607517448,0.059506226266008495,16,0,0.25
passthrough,20,future,judge_correct,0.031800314465408805,0.01200864779874214,0.05416666666666667,16,0,0.25
passthrough,40,now,em,0.13020833333333331,0.05729166666666666,0.20833333333333331,16,0,0.25
passthrough,40,now,f1,0.13839285714285715,0.078125,0.1986607142857143,16,0,0.25
passthrough,40,now,judge_correct,0.125,0.0625,0.1875,16,0,0.25
passthrough,40,future,em,0.06795879696823093,0.033601939203354296,0.10479743690533785,16,0,0.25
passthrough,40,future,f1,0.10760260253748102,0.07710493138979536,0.13835113753842165,16,0,0.25
passthrough,40,future,judge_correct,0.07138364779874215,0.042216981132075476,0.10055031446540881,16,0,0.25
passthrough,80,now,em,0.265625,0.20833333333333331,0.3125,16,0,0.25
passthrough,80,now,f1,0.27284902597402594,0.2474702380952381,0.3011377164502164,16,0,0.25
passthrough,80,now,judge_correct,0.2708333333333333,0.25,0.30729166666666663,16,0,0.25
passthrough,80,future,em,0.1619600638934055,0.13229646196860076,0.18827529466354564,16,0,0.25
passthrough,80,future,f1,0.2061516467533684,0.18317390261459277,0.23005473760440723,16,0,0.25
passthrough,80,future,judge_correct,0.17963836477987422,0.15833333333333335,0.2040683962264151,16,0,0.25
passthrough,160,now,em,0.34375,0.26041666666666663,0.4065104166666629,16,0,0.25
passthrough,160,now,f1,0.41113559059987625,0.36287743506493503,0.45497062461348176,16,0,0.25
passthrough,160,now,judge_correct,0.4583333333333333,0.4114583333333333,0.5,16,0,0.25
passthrough,160,future,em,0.3016789816912175,0.26280692096227765,0.3355918757651827,16,0,0.25
passthrough,160,future,f1,0.36035532863046305,0.3311698255238047,0.3909589854038573,16,0,0.25
passthrough,160,future,judge_correct,0.37295597484276727,0.35,0.3958333333333333,16,0,0.25
random_selection,20,now,em,0.0,0.0,0.0,16,0,0.25
random_selection,20,now,f1,0.0071428571428571435,0.0,0.02142857142857143,16,0,0.25
random_selection,20,now,judge_correct,0.015625,0.0,0.046875,16,0,0.25
random_selection,20,future,em,0.0047169811320754715,0.0,0.014150943396226415,16,0,0.25
random_selection,20,future,f1,0.019278622344871637,0.005159426522728315,0.03788447181386399,16,0,0.25
random_selection,20,future,judge_correct,0.016175314465408805,0.0,0.03492531446540881,16,0,0.25
random_selection,40,now,em,0.020833333333333332,0.0,0.0625,16,0,0.25
random_selection,40,now,f1,0.04924886621315192,0.008928571428571428,0.101828231292517,16,0,0.25
