policy,display,budget_words,slice,n_cells,n_contexts,span_survival,span_survival_lo,span_survival_hi,accuracy,accuracy_lo,accuracy_hi,accuracy_given_survival,n_contexts_with_survival,survival_shortfall
lm_generic,lm_elimination_generic,160,q_now,64,16,0.390625,0.296875,0.484375,0.375,0.28125,0.46875,0.9777777777777777,15,0.015625
lm_generic,lm_elimination_generic,160,any_future,960,16,0.353125,0.30833333333333335,0.39583333333333337,0.35,0.30625,0.39375,0.9924999999999999,16,0.0031250000000000444
lm_generic,lm_elimination_generic,160,paraphrase,64,16,0.390625,0.296875,0.484375,0.390625,0.296875,0.484375,1.0,15,0.0
lm_generic,lm_elimination_generic,160,same_entity,64,16,0.21875,0.140625,0.296875,0.21875,0.140625,0.296875,1.0,12,0.0
lm_generic,lm_elimination_generic,160,same_topic,64,16,0.421875,0.3125,0.53125,0.421875,0.3125,0.53125,1.0,15,0.0
lm_generic,lm_elimination_generic,160,orthogonal,768,16,0.35546875,0.30859375,0.40234375,0.3515625,0.3046875,0.3984375,0.9910714285714286,16,0.00390625
lm_conditioned,lm_elimination_conditioned,20,q_now,64,16,0.046875,0.0,0.125,0.0625,0.0,0.140625,1.0,2,-0.015625
lm_conditioned,lm_elimination_conditioned,20,any_future,960,16,0.011458333333333334,0.0020833333333333333,0.021875000000000002,0.02291666666666667,0.008333333333333333,0.040625,1.0,4,-0.011458333333333334
lm_conditioned,lm_elimination_conditioned,20,paraphrase,64,16,0.046875,0.0,0.125,0.0625,0.0,0.140625,1.0,2,-0.015625
lm_conditioned,lm_elimination_conditioned,20,same_entity,64,16,0.015625,0.0,0.046875,0.015625,0.0,0.046875,1.0,1,0.0
lm_conditioned,lm_elimination_conditioned,20,same_topic,64,16,0.0,0.0,0.0,0.015625,0.0,0.046875,nan,0,-0.015625
lm_conditioned,lm_elimination_conditioned,20,orthogonal,768,16,0.009114583333333332,0.0,0.01953125,0.020833333333333332,0.005208333333333333,0.04036458333333333,1.0,3,-0.01171875
lm_conditioned,lm_elimination_conditioned,40,q_now,64,16,0.625,0.515625,0.734375,0.609375,0.5,0.71875,0.96875,16,0.015625
lm_conditioned,lm_elimination_conditioned,40,any_future,960,16,0.06041666666666667,0.05416666666666667,0.065625,0.06458333333333333,0.059375,0.06979166666666667,0.984375,16,-0.004166666666666659
lm_conditioned,lm_elimination_conditioned,40,paraphrase,64,16,0.625,0.515625,0.734375,0.625,0.5,0.734375,0.96875,16,0.0
lm_conditioned,lm_elimination_conditioned,40,same_entity,64,16,0.046875,0.0,0.09375,0.046875,0.0,0.09375,1.0,3,0.0
lm_conditioned,lm_elimination_conditioned,40,same_topic,64,16,0.03125,0.0,0.078125,0.03125,0.0,0.078125,1.0,2,0.0
lm_conditioned,lm_elimination_conditioned,40,orthogonal,768,16,0.016927083333333336,0.006510416666666666,0.028645833333333332,0.022135416666666664,0.010416666666666666,0.03515625,1.0,7,-0.005208333333333329
lm_conditioned,lm_elimination_conditioned,80,q_now,64,16,0.734375,0.640625,0.828125,0.703125,0.59375,0.8125,0.9583333333333333,16,0.03125
lm_conditioned,lm_elimination_conditioned,80,any_future,960,16,0.15625,0.13541666666666666,0.17604166666666665,0.16354166666666667,0.14270833333333333,0.18333333333333332,1.0,16,-0.0072916666666666685
lm_conditioned,lm_elimination_conditioned,80,paraphrase,64,16,0.734375,0.640625,0.828125,0.734375,0.625,0.828125,1.0,16,0.0
lm_conditioned,lm_elimination_conditioned,80,same_entity,64,16,0.140625,0.0625,0.234375,0.140625,0.0625,0.234375,1.0,7,0.0
lm_conditioned,lm_elimination_conditioned,80,same_topic,64,16,0.078125,0.03125,0.140625,0.109375,0.046875,0.171875,1.0,5,-0.03125
lm_conditioned,lm_elimination_conditioned,80,orthogonal,768,16,0.11588541666666667,0.08854166666666667,0.14192708333333334,0.12239583333333333,0.09635416666666666,0.1484375,1.0,16,-0.006510416666666657
lm_conditioned,lm_elimination_conditioned,160,q_now,64,16,0.90625,0.828125,0.96875,0.890625,0.8125,0.953125,0.984375,16,0.015625
lm_conditioned,lm_elimination_conditioned,160,any_future,960,16,0.33229166666666665,0.30208333333333337,0.3625,0.33125,0.30208333333333337,0.36041666666666666,0.9914772727272727,16,0.001041666666666663
lm_conditioned,lm_elimination_conditioned,160,paraphrase,64,16,0.90625,0.828125,0.96875,0.890625,0.8125,0.953125,0.984375,16,0.015625
lm_conditioned,lm_elimination_conditioned,160,same_entity,64,16,0.296875,0.21875,0.390625,0.296875,0.21875,0.390625,1.0,14,0.0
lm_conditioned,lm_elimination_conditioned,160,same_topic,64,16,0.265625,0.15625,0.390625,0.265625,0.15625,0.390625,1.0,12,0.0
lm_conditioned,lm_elimination_conditioned,160,orthogonal,768,16,0.29296875,0.2578125,0.3294270833333333,0.29296875,0.2578125,0.32815755208333286,0.9916666666666667,16,0.0
nonllm_generic,nonllm_elimination_generic,20,q_now,64,16,0.0,0.0,0.0,0.015625,0.0,0.046875,nan,0,-0.015625
nonllm_generic,nonllm_elimination_generic,20,any_future,960,16,0.004166666666666667,0.0,0.0125,0.015625,0.0,0.034375,1.0,1,-0.011458333333333334
nonllm_generic,nonllm_elimination_generic,20,paraphrase,64,16,0.0,0.0,0.0,0.015625,0.0,0.046875,nan,0,-0.015625
nonllm_generic,nonllm_elimination_generic,20,same_entity,64,16,0.015625,0.0,0.046875,0.015625,0.0,0.046875,1.0,1,0.0
nonllm_generic,nonllm_elimination_generic,20,same_topic,64,16,0.0,0.0,0.0,0.015625,0.0,0.046875,nan,0,-0.015625
nonllm_generic,nonllm_elimination_generic,20,orthogonal,768,16,0.00390625,0.0,0.01171875,0.015625,0.0,0.03515625,1.0,1,-0.01171875
nonllm_generic,nonllm_elimination_generic,40,q_now,64,16,0.046875,0.0,0.09375,0.046875,0.0,0.09375,1.0,3,0.0
nonllm_generic,nonllm_elimination_generic,40,any_future,960,16,0.051041666666666666,0.03125,0.07291666666666667,0.059375,0.040624999999999994,0.078125,1.0,10,-0.008333333333333331
nonllm_generic,nonllm_elimination_generic,40,paraphrase,64,16,0.046875,0.0,0.09375,0.046875,0.0,0.09375,1.0,3,0.0
nonllm_generic,nonllm_elimination_generic,40,same_entity,64,16,0.03125,0.0,0.078125,0.046875,0.0,0.09375,1.0,2,-0.015625
nonllm_generic,nonllm_elimination_generic,40,same_topic,64,16,0.078125,0.03125,0.140625,0.09375,0.03125,0.15625,1.0,5,-0.015625
nonllm_generic,nonllm_elimination_generic,40,orthogonal,768,16,0.05078125,0.03125,0.07421875,0.05859375,0.0390625,0.078125,1.0,10,-0.0078125
nonllm_generic,nonllm_elimination_generic,80,q_now,64,16,0.140625,0.0625,0.21875,0.140625,0.078125,0.203125,0.9375,8,0.0
nonllm_generic,nonllm_elimination_generic,80,any_future,960,16,0.13229166666666664,0.10729166666666667,0.15625,0.13645833333333335,0.11666666666666667,0.15520833333333334,0.9857142857142858,15,-0.004166666666666707
nonllm_generic,nonllm_elimination_generic,80,paraphrase,64,16,0.140625,0.0625,0.21875,0.15625,0.078125,0.25,1.0,8,-0.015625
nonllm_generic,nonllm_elimination_generic,80,same_entity,64,16,0.125,0.046875,0.21875,0.125,0.046875,0.21875,1.0,6,0.0
nonllm_generic,nonllm_elimination_generic,80,same_topic,64,16,0.125,0.046875,0.21875,0.125,0.046875,0.21875,1.0,6,0.0
nonllm_generic,nonllm_elimination_generic,80,orthogonal,768,16,0.1328125,0.10546875,0.16015625,0.13671875,0.1171875,0.15625,0.9833333333333333,15,-0.00390625
nonllm_generic,nonllm_elimination_generic,160,q_now,64,16,0.34375,0.25,0.4375,0.34375,0.25,0.4375,1.0,14,0.0
nonllm_generic,nonllm_elimination_generic,160,any_future,960,16,0.3104166666666667,0.265625,0.35,0.3145833333333333,0.26872395833333357,0.35833333333333334,1.0,16,-0.004166666666666652
nonllm_generic,nonllm_elimination_generic,160,paraphrase,64,16,0.34375,0.25,0.4375,0.359375,0.25,0.484375,1.0,14,-0.015625
nonllm_generic,nonllm_elimination_generic,160,same_entity,64,16,0.3125,0.21875,0.40625,0.3125,0.21875,0.40625,1.0,14,0.0
nonllm_generic,nonllm_elimination_generic,160,same_topic,64,16,0.25,0.15625,0.34375,0.25,0.15625,0.34375,1.0,11,0.0
nonllm_generic,nonllm_elimination_generic,160,orthogonal,768,16,0.3125,0.265625,0.35546875,0.31640625,0.26953125,0.36328125,1.0,16,-0.00390625
nonllm_conditioned,nonllm_elimination_conditioned,20,q_now,64,16,0.03125,0.0,0.09375,0.046875,0.0,0.125,1.0,1,-0.015625
nonllm_conditioned,nonllm_elimination_conditioned,20,any_future,960,16,0.013541666666666667,0.0010416666666666667,0.02916666666666667,0.025,0.007291666666666667,0.044791666666666674,1.0,4,-0.011458333333333334
nonllm_conditioned,nonllm_elimination_conditioned,20,paraphrase,64,16,0.03125,0.0,0.09375,0.046875,0.0,0.125,1.0,1,-0.015625
nonllm_conditioned,nonllm_elimination_conditioned,20,same_entity,64,16,0.015625,0.0,0.046875,0.015625,0.0,0.046875,1.0,1,0.0
