policy,display,context_id,rotation_id,target_words,delivered_words,fill_ratio,source_words,retention_fraction,selected_unit_count,declared_selected_unit_count,units_skipped_for_fit,empty_message,over_budget
nonllm_conditioned,nonllm_elimination_conditioned,rel:18,rel:18|cond=rel:18:facilities:anchor,80,64,0.8,402,0.15920398009950248,3,3,13,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:18,rel:18|cond=rel:18:finance:anchor,80,67,0.8375,402,0.16666666666666666,3,3,13,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:18,rel:18|cond=rel:18:founding:anchor,80,70,0.875,402,0.17412935323383086,3,3,13,False,False
nonllm_generic,nonllm_elimination_generic,rel:18,-,160,160,1.0,402,0.39800995024875624,6,6,10,False,False
nonllm_generic,nonllm_elimination_generic,rel:18,-,20,20,1.0,402,0.04975124378109453,1,1,15,False,False
nonllm_generic,nonllm_elimination_generic,rel:18,-,40,25,0.625,402,0.06218905472636816,1,1,15,False,False
nonllm_generic,nonllm_elimination_generic,rel:18,-,80,80,1.0,402,0.19900497512437812,3,3,13,False,False
oracle,summary_oracle,rel:18,-,160,139,0.86875,402,0.34577114427860695,1,,,False,False
oracle,summary_oracle,rel:18,-,20,17,0.85,402,0.04228855721393035,0,,,False,False
oracle,summary_oracle,rel:18,-,40,36,0.9,402,0.08955223880597014,0,,,False,False
oracle,summary_oracle,rel:18,-,80,80,1.0,402,0.19900497512437812,0,,,False,False
paraphrase,paraphrase,rel:18,-,160,142,0.8875,402,0.35323383084577115,0,,,False,False
paraphrase,paraphrase,rel:18,-,20,18,0.9,402,0.04477611940298507,0,,,False,False
paraphrase,paraphrase,rel:18,-,40,37,0.925,402,0.09203980099502487,0,,,False,False
paraphrase,paraphrase,rel:18,-,80,71,0.8875,402,0.17661691542288557,0,,,False,False
passthrough,passthrough (prefix),rel:18,-,160,144,0.9,402,0.3582089552238806,6,6,10,False,False
passthrough,passthrough (prefix),rel:18,-,20,20,1.0,402,0.04975124378109453,1,1,15,False,False
passthrough,passthrough (prefix),rel:18,-,40,39,0.975,402,0.09701492537313433,2,2,14,False,False
passthrough,passthrough (prefix),rel:18,-,80,64,0.8,402,0.15920398009950248,3,3,13,False,False
random_selection,random_selection,rel:18,-,160,157,0.98125,402,0.39054726368159204,6,6,10,False,False
random_selection,random_selection,rel:18,-,20,20,1.0,402,0.04975124378109453,1,1,15,False,False
random_selection,random_selection,rel:18,-,40,32,0.8,402,0.07960199004975124,1,1,15,False,False
random_selection,random_selection,rel:18,-,80,66,0.825,402,0.16417910447761194,3,3,13,False,False
reusable,summary_reusable,rel:18,rel:18|cond=rel:18:custom:anchor,160,146,0.9125,402,0.36318407960199006,2,,,False,False
reusable,summary_reusable,rel:18,rel:18|cond=rel:18:facilities:anchor,160,140,0.875,402,0.3482587064676617,1,,,False,False
reusable,summary_reusable,rel:18,rel:18|cond=rel:18:finance:anchor,160,143,0.89375,402,0.35572139303482586,0,,,False,False
reusable,summary_reusable,rel:18,rel:18|cond=rel:18:founding:anchor,160,146,0.9125,402,0.36318407960199006,0,,,False,False
reusable,summary_reusable,rel:18,rel:18|cond=rel:18:custom:anchor,20,17,0.85,402,0.04228855721393035,0,,,False,False
reusable,summary_reusable,rel:18,rel:18|cond=rel:18:facilities:anchor,20,19,0.95,402,0.0472636815920398,0,,,False,False
reusable,summary_reusable,rel:18,rel:18|cond=rel:18:finance:anchor,20,19,0.95,402,0.0472636815920398,0,,,False,False
reusable,summary_reusable,rel:18,rel:18|cond=rel:18:founding:anchor,20,18,0.9,402,0.04477611940298507,0,,,False,False
reusable,summary_reusable,rel:18,rel:18|cond=rel:18:custom:anchor,40,38,0.95,402,0.0945273631840796,0,,,False,False
reusable,summary_reusable,rel:18,rel:18|cond=rel:18:facilities:anchor,40,39,0.975,402,0.09701492537313433,0,,,False,False
reusable,summary_reusable,rel:18,rel:18|cond=rel:18:finance:anchor,40,34,0.85,402,0.0845771144278607,0,,,False,False
reusable,summary_reusable,rel:18,rel:18|cond=rel:18:founding:anchor,40,38,0.95,402,0.0945273631840796,0,,,False,False
reusable,summary_reusable,rel:18,rel:18|cond=rel:18:custom:anchor,80,79,0.9875,402,0.19651741293532338,0,,,False,False
reusable,summary_reusable,rel:18,rel:18|cond=rel:18:facilities:anchor,80,71,0.8875,402,0.17661691542288557,0,,,False,False
reusable,summary_reusable,rel:18,rel:18|cond=rel:18:finance:anchor,80,72,0.9,402,0.1791044776119403,0,,,False,False
reusable,summary_reusable,rel:18,rel:18|cond=rel:18:founding:anchor,80,75,0.9375,402,0.1865671641791045,0,,,False,False
conditioned,summary_conditioned,rel:21,rel:21|cond=rel:21:custom:anchor,160,140,0.875,484,0.2892561983471074,0,,,False,False
conditioned,summary_conditioned,rel:21,rel:21|cond=rel:21:facilities:anchor,160,150,0.9375,484,0.30991735537190085,0,,,False,False
