policy,budget_words,kind,endpoint,metric,mean,lo,hi,n_contexts,n_rotations
generic,40,utility,gap,em,0.041666666666666685,-0.033333333333333326,0.1166666666666667,16,64
generic,40,utility,gap,f1,0.10668650793650794,0.04001984126984127,0.1672420634920635,16,64
generic,40,utility,gap,judge_correct,0.14166666666666666,0.07500000000000001,0.2125,16,64
generic,40,regret,now,em,0.5,0.390625,0.609375,16,64
generic,40,regret,now,f1,0.38504464285714285,0.296875,0.4817708333333333,16,64
generic,40,regret,now,judge_correct,0.453125,0.34375,0.5625,16,64
generic,40,regret,future,em,0.6000000000000001,0.5229166666666667,0.6802083333333333,16,64
generic,40,regret,future,f1,0.5420089285714286,0.4758322172619048,0.6145866815476191,16,64
generic,40,regret,future,judge_correct,0.590625,0.515625,0.6697916666666667,16,64
generic,40,retained,now,em,0.36979166666666663,0.24999999999999997,0.5052083333333333,16,64
generic,40,retained,now,f1,0.5024553571428572,0.40312499999999996,0.5905047123015872,16,64
generic,40,retained,now,judge_correct,0.546875,0.4375,0.65625,16,64
generic,40,retained,future,em,0.3005453747641248,0.22229279834748591,0.37937622490356865,16,64
generic,40,retained,future,f1,0.3760479351997209,0.3042559142246642,0.44301953329408683,16,64
generic,40,retained,future,judge_correct,0.4076636904761905,0.3291592261904762,0.480952380952381,16,64
generic,40,channel,message,delivered_words,36.75,35.4375,37.9375,16,64
generic,40,channel,message,fill_ratio,0.91875,0.8859375,0.9484375,16,64
generic,80,utility,now,em,0.515625,0.390625,0.640625,16,64
generic,80,utility,now,f1,0.6265625,0.534375,0.7171875,16,64
generic,80,utility,now,judge_correct,0.734375,0.625,0.84375,16,64
generic,80,utility,future,em,0.4614583333333333,0.396875,0.5291666666666667,16,64
generic,80,utility,future,f1,0.5468402777777777,0.49527690972222216,0.5992378472222222,16,64
generic,80,utility,future,judge_correct,0.6135416666666667,0.5520833333333333,0.671875,16,64
generic,80,utility,gap,em,0.05416666666666668,-0.03333333333333331,0.13333333333333336,16,64
generic,80,utility,gap,f1,0.07972222222222225,0.017357638888888926,0.13667361111111107,16,64
generic,80,utility,gap,judge_correct,0.12083333333333335,0.05000000000000002,0.1916666666666667,16,64
generic,80,regret,now,em,0.28125,0.140625,0.421875,16,64
generic,80,regret,now,f1,0.21666666666666667,0.12291666666666667,0.3078125,16,64
generic,80,regret,now,judge_correct,0.265625,0.15625,0.375,16,64
generic,80,regret,future,em,0.39375000000000004,0.31559895833333346,0.46770833333333334,16,64
generic,80,regret,future,f1,0.3466666666666667,0.2882274305555556,0.40386111111111106,16,64
generic,80,regret,future,judge_correct,0.3822916666666667,0.32083333333333336,0.4458333333333333,16,64
generic,80,retained,now,em,0.6354166666666666,0.48437499999999994,0.7760416666666666,16,64
generic,80,retained,now,f1,0.7151041666666667,0.6052083333333333,0.8223958333333333,16,64
generic,80,retained,now,judge_correct,0.734375,0.625,0.84375,16,64
generic,80,retained,future,em,0.5349027708402709,0.4621416604229105,0.6120688859751359,16,64
generic,80,retained,future,f1,0.5889568070818071,0.5347743389423077,0.642615012591575,16,64
generic,80,retained,future,judge_correct,0.6123511904761905,0.5517671130952382,0.6697991071428571,16,64
generic,80,channel,message,delivered_words,72.9375,71.0,74.9375,16,64
generic,80,channel,message,fill_ratio,0.9117187499999999,0.8875,0.93671875,16,64
oracle,40,utility,now,em,0.5,0.375,0.625,16,64
oracle,40,utility,now,f1,0.6317708333333334,0.4942708333333333,0.7546875,16,64
oracle,40,utility,now,judge_correct,0.78125,0.625,0.90625,16,64
oracle,40,utility,future,em,0.5375,0.40518229166666675,0.660442708333333,16,64
oracle,40,utility,future,f1,0.6279613095238096,0.5042781498015872,0.7388325892857143,16,64
oracle,40,utility,future,judge_correct,0.7312500000000001,0.5958333333333334,0.8489583333333334,16,64
oracle,40,utility,gap,em,-0.03750000000000001,-0.10833333333333335,0.037499999999999985,16,64
oracle,40,utility,gap,f1,0.003809523809523808,-0.05625049603174604,0.062148313492063435,16,64
oracle,40,utility,gap,judge_correct,0.04999999999999999,0.004166666666666657,0.09583333333333333,16,64
oracle,40,regret,now,em,0.296875,0.171875,0.4375,16,64
oracle,40,regret,now,f1,0.21145833333333333,0.0859375,0.3546875,16,64
oracle,40,regret,now,judge_correct,0.21875,0.09375,0.375,16,64
oracle,40,regret,future,em,0.31770833333333337,0.203125,0.43854166666666666,16,64
oracle,40,regret,future,f1,0.26554563492063493,0.1586050347222223,0.3842616567460316,16,64
oracle,40,regret,future,judge_correct,0.2645833333333333,0.14895833333333333,0.39690104166666634,16,64
oracle,40,retained,now,em,0.625,0.46354166666666663,0.7760416666666666,16,64
oracle,40,retained,now,f1,0.7012152777777778,0.5522526041666667,0.8310850694444444,16,64
oracle,40,retained,now,judge_correct,0.78125,0.625,0.90625,16,64
oracle,40,retained,future,em,0.616821112914863,0.47003526638292276,0.7550541429057052,16,64
oracle,40,retained,future,f1,0.6709366823652538,0.5406517427884615,0.7874069204604919,16,64
oracle,40,retained,future,judge_correct,0.7323660714285715,0.5980654761904762,0.8490569196428569,16,64
oracle,40,channel,message,delivered_words,32.4375,26.9375,37.25,16,64
oracle,40,channel,message,fill_ratio,0.8109375000000001,0.6734375,0.9312499999999999,16,64
oracle,80,utility,now,em,0.6875,0.578125,0.78125,16,64
oracle,80,utility,now,f1,0.7902777777777779,0.7368055555555555,0.8479166666666667,16,64
oracle,80,utility,now,judge_correct,0.9375,0.875,0.984375,16,64
oracle,80,utility,future,em,0.7416666666666667,0.678125,0.8052343749999997,16,64
oracle,80,utility,future,f1,0.8175000000000001,0.7707986111111111,0.8653862847222222,16,64
oracle,80,utility,future,judge_correct,0.925,0.8655989583333333,0.9760416666666667,16,64
oracle,80,utility,gap,em,-0.05416666666666667,-0.12083333333333333,0.012499999999999997,16,64
oracle,80,utility,gap,f1,-0.027222222222222224,-0.06708680555555555,0.016666666666666663,16,64
oracle,80,utility,gap,judge_correct,0.012500000000000002,-0.004166666666666671,0.029166666666666674,16,64
oracle,80,regret,now,em,0.109375,0.03125,0.203125,16,64
oracle,80,regret,now,f1,0.052951388888888895,0.0015624999999999997,0.11180555555555556,16,64
oracle,80,regret,now,judge_correct,0.0625,0.015625,0.125,16,64
oracle,80,regret,future,em,0.11354166666666668,0.05625000000000001,0.1760416666666667,16,64
