comparison,treatment,control,budget_words,kind,endpoint,metric,delta,lo,hi,p_value,n,cohens_dz
reusable_minus_generic,reusable,generic,40,retained,future,em,-0.12165256618381617,-0.19544478958541453,-0.048680993485681015,0.0008,16,-0.7884523541397391
reusable_minus_generic,reusable,generic,40,retained,future,f1,-0.16116114127274841,-0.22601178631842692,-0.09535788190810515,0.0,16,-1.1681041742404843
reusable_minus_generic,reusable,generic,40,retained,future,judge_correct,-0.19962797619047623,-0.27038690476190474,-0.11874069940476203,0.0002,16,-1.246577966070771
reusable_minus_generic,reusable,generic,40,specialisation_did,now_minus_future,em,0.5843750000000001,0.5030989583333335,0.6635416666666667,0.0,16,3.46837689067952
reusable_minus_generic,reusable,generic,40,specialisation_did,now_minus_future,f1,0.5265368716931217,0.4469663111772488,0.6087225942460317,0.0,16,3.0810033396744303
reusable_minus_generic,reusable,generic,40,specialisation_did,now_minus_future,judge_correct,0.6343750000000001,0.5604166666666668,0.7020833333333334,0.0,16,4.208542519816493
reusable_minus_generic,reusable,generic,80,utility,now,em,0.21875,0.09375,0.34375,0.001,16,0.804367479609613
reusable_minus_generic,reusable,generic,80,utility,now,f1,0.15677083333333333,0.06770833333333333,0.2484375,0.0004,16,0.8336617539368647
reusable_minus_generic,reusable,generic,80,utility,now,judge_correct,0.265625,0.15625,0.375,0.0,16,1.1440615418736018
reusable_minus_generic,reusable,generic,80,utility,future,em,-0.13229166666666664,-0.19166666666666665,-0.07500000000000001,0.0,16,-1.1086229048617484
reusable_minus_generic,reusable,generic,80,utility,future,f1,-0.1864831349206349,-0.2311263020833333,-0.14281479414682546,0.0,16,-2.06141555823034
reusable_minus_generic,reusable,generic,80,utility,future,judge_correct,-0.21666666666666665,-0.271875,-0.16458333333333333,0.0,16,-1.9336333812533713
reusable_minus_generic,reusable,generic,80,utility,gap,em,0.3510416666666667,0.23854166666666665,0.46354166666666674,0.0,16,1.477342823398273
reusable_minus_generic,reusable,generic,80,utility,gap,f1,0.34325396825396826,0.2497683531746032,0.4310999503968254,0.0,16,1.8140668383154304
reusable_minus_generic,reusable,generic,80,utility,gap,judge_correct,0.4822916666666667,0.403125,0.5562499999999999,0.0,16,2.9964530812648174
reusable_minus_generic,reusable,generic,80,regret,now,em,-0.21875,-0.34375,-0.09375,0.001,16,-0.804367479609613
reusable_minus_generic,reusable,generic,80,regret,now,f1,-0.15677083333333333,-0.24843749999999998,-0.06770833333333333,0.0004,16,-0.8336617539368647
reusable_minus_generic,reusable,generic,80,regret,now,judge_correct,-0.265625,-0.375,-0.15625,0.0,16,-1.1440615418736018
reusable_minus_generic,reusable,generic,80,regret,future,em,0.1322916666666667,0.07500000000000004,0.19166666666666665,0.0,16,1.1086229048617489
reusable_minus_generic,reusable,generic,80,regret,future,f1,0.1864831349206349,0.1428147941468254,0.23112630208333332,0.0,16,2.061415558230339
reusable_minus_generic,reusable,generic,80,regret,future,judge_correct,0.21666666666666667,0.16458333333333336,0.271875,0.0,16,1.933633381253371
reusable_minus_generic,reusable,generic,80,retained,now,em,0.2708333333333333,0.140625,0.40625,0.0,16,0.968245836551854
reusable_minus_generic,reusable,generic,80,retained,now,f1,0.1845486111111111,0.08003038194444444,0.2921875,0.0002,16,0.8262367867941827
reusable_minus_generic,reusable,generic,80,retained,now,judge_correct,0.265625,0.15625,0.375,0.0,16,1.1440615418736018
