dataset,context_variant,depth,metric,delta,lo,hi,p_value,n
musique,medium,9,f1,-0.1444354256854257,-0.2719969336219336,-0.033877886002886035,0.0182,30
musique,medium,9,judge_correct,-0.16666666666666666,-0.3333333333333333,-0.016666666666666666,0.0446,30
musique,medium,10,em,-0.13333333333333333,-0.2833333333333333,0.0,0.0856,30
musique,medium,10,f1,-0.12662457912457914,-0.2662039141414141,-0.0034764309764309755,0.0606,30
musique,medium,10,judge_correct,-0.18333333333333332,-0.3333333333333333,-0.03333333333333333,0.0215,30
musique,short,1,em,-0.06666666666666667,-0.2,0.06666666666666667,0.3947,30
musique,short,1,f1,-0.014151034151034143,-0.14613744588744582,0.10640572390572386,0.8192,30
musique,short,1,judge_correct,0.03333333333333333,-0.1,0.16666666666666666,0.6994,30
musique,short,2,em,-0.08333333333333333,-0.21666666666666667,0.03333333333333333,0.2247,30
musique,short,2,f1,-0.04033443680502504,-0.15837195484254304,0.05829471182412358,0.4599,30
musique,short,2,judge_correct,-0.03333333333333333,-0.15,0.06666666666666667,0.6653,30
musique,short,3,em,-0.08333333333333333,-0.21666666666666667,0.03333333333333333,0.2247,30
musique,short,3,f1,-0.03938672438672439,-0.15667766955266946,0.05909830447330447,0.4729,30
musique,short,3,judge_correct,-0.03333333333333333,-0.15,0.06666666666666667,0.6653,30
musique,short,4,em,-0.1,-0.21666666666666667,0.0,0.1181,30
musique,short,4,f1,-0.05668831168831169,-0.1716666666666667,0.039673160173159895,0.2903,30
musique,short,4,judge_correct,-0.05,-0.16666666666666666,0.05,0.4411,30
musique,short,5,em,-0.1,-0.21666666666666667,0.0,0.1181,30
musique,short,5,f1,-0.050021645021645016,-0.16666666666666666,0.045454545454545456,0.3431,30
musique,short,5,judge_correct,-0.05,-0.16666666666666666,0.05,0.4411,30
musique,short,6,em,-0.08333333333333333,-0.21666666666666667,0.03333333333333333,0.2247,30
musique,short,6,f1,-0.04008658008658009,-0.15683982683982686,0.05917803030303031,0.4674,30
musique,short,6,judge_correct,-0.016666666666666666,-0.15,0.08374999999999393,0.8904,30
musique,short,7,em,-0.08333333333333333,-0.21666666666666667,0.03333333333333333,0.2247,30
musique,short,7,f1,-0.039761349761349755,-0.15758080808080804,0.05753896103896098,0.4664,30
musique,short,7,judge_correct,-0.03333333333333333,-0.16666666666666666,0.08333333333333333,0.6877,30
musique,short,8,em,-0.1,-0.21666666666666667,0.0,0.1181,30
musique,short,8,f1,-0.062142857142857146,-0.17430357142857128,0.029523809523809525,0.2445,30
musique,short,8,judge_correct,-0.06666666666666667,-0.18333333333333332,0.03333333333333333,0.2966,30
musique,short,9,em,-0.1,-0.21666666666666667,0.0,0.1181,30
musique,short,9,f1,-0.05884615384615385,-0.17387179487179463,0.038974358974358976,0.2761,30
musique,short,9,judge_correct,-0.05,-0.16666666666666666,0.05,0.4803,30
musique,short,10,em,-0.08333333333333333,-0.21666666666666667,0.03333333333333333,0.2247,30
musique,short,10,f1,-0.034812409812409816,-0.15406926406926408,0.06852092352092351,0.5445,30
musique,short,10,judge_correct,-0.03333333333333333,-0.16666666666666666,0.08333333333333333,0.6877,30
