comparison,treatment,control,budget_words,kind,endpoint,metric,delta,lo,hi,p_value,n,cohens_dz
conditioned_minus_reusable,conditioned,reusable,40,utility,future,em,-0.003125,-0.013541666666666667,0.007291666666666666,0.5714,16,-0.14123317071650804
conditioned_minus_reusable,conditioned,reusable,40,utility,future,f1,-0.007523705189146365,-0.018370455031760182,0.0036858580553433377,0.1828,16,-0.3220457497171411
conditioned_minus_reusable,conditioned,reusable,40,utility,future,judge_correct,-0.007291666666666664,-0.020833333333333332,0.006250000000000003,0.3211,16,-0.2556265835420315
conditioned_minus_reusable,conditioned,reusable,40,utility,gap,em,0.0031249999999999854,-0.007291666666666672,0.013541666666666657,0.609,16,0.1412331707165074
conditioned_minus_reusable,conditioned,reusable,40,utility,gap,f1,-0.00497629481085364,-0.023754476664403116,0.011493109822843278,0.5948,16,-0.1318805029997379
conditioned_minus_reusable,conditioned,reusable,40,utility,gap,judge_correct,-0.008333333333333338,-0.04687499999999999,0.01770833333333334,0.6318,16,-0.11829005585184604
conditioned_minus_reusable,conditioned,reusable,40,regret,now,em,0.0,0.0,0.0,1.0,16,nan
conditioned_minus_reusable,conditioned,reusable,40,regret,now,f1,0.0125,0.0,0.0328125,0.2247,16,0.35355339059327373
conditioned_minus_reusable,conditioned,reusable,40,regret,now,judge_correct,0.015625,0.0,0.046875,0.6206,16,0.25
conditioned_minus_reusable,conditioned,reusable,40,regret,future,em,0.0031250000000000097,-0.007291666666666641,0.013541666666666674,0.5277,16,0.14123317071650857
conditioned_minus_reusable,conditioned,reusable,40,regret,future,f1,0.007523705189146392,-0.0036858580553432723,0.018370455031760224,0.1828,16,0.32204574971714206
conditioned_minus_reusable,conditioned,reusable,40,regret,future,judge_correct,0.007291666666666662,-0.006249999999999992,0.020833333333333322,0.2992,16,0.2556265835420316
conditioned_minus_reusable,conditioned,reusable,40,retained,now,em,0.0,0.0,0.0,1.0,16,nan
conditioned_minus_reusable,conditioned,reusable,40,retained,now,f1,-0.012499999999999997,-0.032812499999999994,0.0,0.2247,16,-0.3535533905932737
conditioned_minus_reusable,conditioned,reusable,40,retained,now,judge_correct,0.0,0.0,0.0,1.0,16,nan
conditioned_minus_reusable,conditioned,reusable,40,retained,future,em,-0.004662698412698412,-0.01616934714590964,0.006228194548507052,0.413,16,-0.19621069263235277
conditioned_minus_reusable,conditioned,reusable,40,retained,future,f1,-0.008111927730493903,-0.019075509309080075,0.00332308300529808,0.1548,16,-0.34339628128986716
conditioned_minus_reusable,conditioned,reusable,40,retained,future,judge_correct,-0.007291666666666664,-0.020833333333333332,0.006250000000000003,0.3211,16,-0.2556265835420315
conditioned_minus_reusable,conditioned,reusable,40,specialisation_did,now_minus_future,em,0.0031249999999999854,-0.0072916666666666685,0.014583333333333295,0.6112,16,0.1412331707165074
conditioned_minus_reusable,conditioned,reusable,40,specialisation_did,now_minus_future,f1,-0.00497629481085364,-0.02382435027356899,0.011607894420394406,0.5837,16,-0.1318805029997379
conditioned_minus_reusable,conditioned,reusable,40,specialisation_did,now_minus_future,judge_correct,-0.008333333333333338,-0.04583333333333334,0.018749999999999982,0.6239,16,-0.11829005585184604
conditioned_minus_reusable,conditioned,reusable,80,utility,now,em,-0.03125,-0.078125,0.0,0.251,16,-0.36596252735569995
conditioned_minus_reusable,conditioned,reusable,80,utility,now,f1,-0.013020833333333336,-0.052083333333333336,0.018229166666666664,0.5176,16,-0.17572548659860418
conditioned_minus_reusable,conditioned,reusable,80,utility,now,judge_correct,-0.015625,-0.046875,0.0,0.6217,16,-0.25
conditioned_minus_reusable,conditioned,reusable,80,utility,future,em,-0.06770833333333334,-0.08125000000000002,-0.053125000000000006,0.0,16,-2.2965665045280903
conditioned_minus_reusable,conditioned,reusable,80,utility,future,f1,-0.06895970060032561,-0.08537982120599306,-0.05184328894485144,0.0,16,-1.9683906419719062
conditioned_minus_reusable,conditioned,reusable,80,utility,future,judge_correct,-0.08020833333333334,-0.09791666666666668,-0.06354166666666668,0.0,16,-2.2208253459899323
conditioned_minus_reusable,conditioned,reusable,80,utility,gap,em,0.03645833333333334,-0.010416666666666657,0.07291666666666669,0.0818,16,0.41616367367610135
conditioned_minus_reusable,conditioned,reusable,80,utility,gap,f1,0.05593886726699227,0.016407071950040725,0.08679491869530931,0.0042,16,0.7643874804779629
conditioned_minus_reusable,conditioned,reusable,80,utility,gap,judge_correct,0.06458333333333335,0.026041666666666678,0.09375,0.0019,16,0.9037734433971979
conditioned_minus_reusable,conditioned,reusable,80,regret,now,em,0.03125,0.0,0.078125,0.251,16,0.36596252735569995
conditioned_minus_reusable,conditioned,reusable,80,regret,now,f1,0.013020833333333334,-0.018229166666666664,0.052083333333333336,0.5181,16,0.17572548659860415
conditioned_minus_reusable,conditioned,reusable,80,regret,now,judge_correct,0.015625,0.0,0.046875,0.6217,16,0.25
conditioned_minus_reusable,conditioned,reusable,80,regret,future,em,0.06770833333333331,0.053125,0.08124999999999999,0.0,16,2.2965665045280907
conditioned_minus_reusable,conditioned,reusable,80,regret,future,f1,0.0689597006003256,0.05184328894485142,0.0853798212059931,0.0,16,1.968390641971904
conditioned_minus_reusable,conditioned,reusable,80,regret,future,judge_correct,0.08020833333333335,0.06354166666666672,0.0979166666666667,0.0,16,2.220825345989934
conditioned_minus_reusable,conditioned,reusable,80,retained,now,em,-0.04166666666666667,-0.10416666666666667,0.0,0.251,16,-0.36596252735569995
conditioned_minus_reusable,conditioned,reusable,80,retained,now,f1,-0.014756944444444448,-0.05381944444444445,0.016493055555555552,0.5176,16,-0.19378331984971012
