policy,budget_words,kind,endpoint,metric,mean,lo,hi,n_contexts,n_rotations
generic,160,retained,future,judge_correct,0.5067593864468865,0.4520833333333333,0.5640632154304028,16,64
generic,160,channel,message,delivered_words,143.5625,141.5,145.5625,16,64
generic,160,channel,message,fill_ratio,0.897265625,0.884375,0.909765625,16,64
oracle,20,utility,now,em,0.21875,0.171875,0.25,16,64
oracle,20,utility,now,f1,0.2454613095238095,0.22760416666666666,0.2575892857142857,16,64
oracle,20,utility,now,judge_correct,0.25,0.25,0.25,16,64
oracle,20,utility,future,em,0.14375000000000002,0.11250000000000002,0.171875,16,64
oracle,20,utility,future,f1,0.19961670274170273,0.1752132598304473,0.2240882711038961,16,64
oracle,20,utility,future,judge_correct,0.1791666666666667,0.16250000000000003,0.19583333333333336,16,64
oracle,20,utility,gap,em,0.07499999999999998,0.04583333333333332,0.10416666666666667,16,64
oracle,20,utility,gap,f1,0.045844606782106785,0.02326979617604618,0.06718476055194805,16,64
oracle,20,utility,gap,judge_correct,0.07083333333333332,0.054166666666666655,0.0875,16,64
oracle,20,regret,now,em,0.578125,0.53125,0.640625,16,64
oracle,20,regret,now,f1,0.6529761904761904,0.616889880952381,0.6878720238095237,16,64
oracle,20,regret,now,judge_correct,0.734375,0.703125,0.75,16,64
oracle,20,regret,future,em,0.703125,0.6677083333333333,0.7395833333333334,16,64
oracle,20,regret,future,f1,0.7277096861471861,0.7047866161616162,0.7515046108405484,16,64
oracle,20,regret,future,judge_correct,0.8135416666666667,0.7895833333333334,0.8375000000000001,16,64
oracle,20,retained,now,em,0.265625,0.20833333333333331,0.3125,16,64
oracle,20,retained,now,f1,0.2506696428571429,0.22968191964285717,0.26785714285714285,16,64
oracle,20,retained,now,judge_correct,0.2552083333333333,0.25,0.265625,16,64
oracle,20,retained,future,em,0.16084271631146632,0.12394248329795204,0.19407946654040406,16,64
oracle,20,retained,future,f1,0.20253064395921538,0.17840620391513248,0.22658250504455862,16,64
oracle,20,retained,future,judge_correct,0.18067193223443226,0.16250000000000003,0.19884386446886448,16,64
oracle,20,channel,message,delivered_words,18.0625,17.5625,18.5625,16,64
oracle,20,channel,message,fill_ratio,0.903125,0.878125,0.9281250000000001,16,64
oracle,40,utility,now,em,0.328125,0.25,0.421875,16,64
oracle,40,utility,now,f1,0.42896634615384616,0.3558463541666667,0.5035657051282051,16,64
oracle,40,utility,now,judge_correct,0.515625,0.4375,0.59375,16,64
oracle,40,utility,future,em,0.2989583333333333,0.2520833333333333,0.34270833333333334,16,64
oracle,40,utility,future,f1,0.3733726343101343,0.3380006105006105,0.406042000534188,16,64
oracle,40,utility,future,judge_correct,0.3989583333333333,0.36250000000000004,0.434375,16,64
oracle,40,utility,gap,em,0.029166666666666678,-0.020833333333333336,0.08333333333333334,16,64
oracle,40,utility,gap,f1,0.055593711843711834,0.007202342796092782,0.10373107448107449,16,64
oracle,40,utility,gap,judge_correct,0.11666666666666667,0.054166666666666675,0.175,16,64
oracle,40,regret,now,em,0.46875,0.40625,0.53125,16,64
oracle,40,regret,now,f1,0.46947115384615384,0.39863782051282054,0.5395833333333333,16,64
oracle,40,regret,now,judge_correct,0.46875,0.390625,0.546875,16,64
oracle,40,regret,future,em,0.5479166666666667,0.5125000000000001,0.5791666666666667,16,64
oracle,40,regret,future,f1,0.5539537545787545,0.5219202915140414,0.5855467509920635,16,64
oracle,40,regret,future,judge_correct,0.59375,0.5614583333333333,0.628125,16,64
oracle,40,retained,now,em,0.3958333333333333,0.3125,0.47916666666666663,16,64
oracle,40,retained,now,f1,0.4376469017094017,0.3628472222222222,0.5125,16,64
oracle,40,retained,now,judge_correct,0.5052083333333333,0.421875,0.59375,16,64
